Date,Open,High,Low,Close,Volume
2010-01-04,170000,171000,168000,169500,346891
2010-01-05,169000,169500,157000,157500,1517785
2010-01-06,158500,159500,154000,156500,746015
2010-01-07,157500,158500,151000,151500,612717
2010-01-08,152000,153000,145500,151500,1048575
2010-01-11,152500,152500,146000,147000,667597
2010-01-12,149000,151000,146000,148500,563020
2010-01-13,147000,152500,146500,151000,535404
2010-01-14,150500,151500,147000,149500,561172
2010-01-15,148500,153000,147500,150500,479052
2010-01-18,150500,155000,150000,154000,527373
2010-01-19,156000,157000,149500,150000,369479
2010-01-20,150500,152000,147000,148000,374771
2010-01-21,147000,152500,146500,152000,313751
2010-01-22,150500,152000,147000,150000,360718
2010-01-25,147500,150000,146500,148500,248166
2010-01-26,149500,150000,141500,144000,461060
2010-01-27,145000,147500,142000,144000,310948
2010-01-28,145500,148000,142500,146500,422690
2010-01-29,145000,150500,144000,148000,628560
2010-02-01,150500,152000,149000,150000,407148
2010-02-02,150000,151000,144500,146500,427971
2010-02-03,148000,149000,145000,147000,258282
2010-02-04,147000,155500,146500,151000,759906
2010-02-05,145000,148500,144000,147000,388873
2010-02-08,149000,150500,147000,149000,264153
2010-02-09,147500,148000,142500,145000,782620
2010-02-10,146000,146500,141500,141500,995438
2010-02-11,143000,144500,142500,144000,459906
2010-02-12,144000,144500,140500,142500,379813
2010-02-16,142000,145000,141500,143000,215016
2010-02-17,145000,145500,143000,143500,346953
2010-02-18,145000,147500,144500,146500,540910
2010-02-19,145000,147500,144000,146500,405873
2010-02-22,149000,150500,148000,149000,417981
2010-02-23,148500,151000,147500,149500,255504
2010-02-24,148500,151000,145000,150000,403584
2010-02-25,149500,150000,147000,149000,190755
2010-02-26,148500,150500,148000,148500,183649
2010-03-02,151000,152500,147500,148000,1047647
2010-03-03,147000,148000,145000,147000,437606
2010-03-04,147000,148000,145500,147000,329349
2010-03-05,147000,149000,146500,148500,332874
2010-03-08,150000,151000,147000,148000,355266
2010-03-09,147500,148000,145500,145500,329238
2010-03-10,145500,147500,144000,146500,257334
2010-03-11,147000,148000,144500,144500,271283
2010-03-12,145000,146000,142000,143000,483688
2010-03-15,142500,145500,142500,143000,214857
2010-03-16,143000,144500,142500,143000,311309
2010-03-17,144500,148000,144500,147500,464223
2010-03-18,147500,149000,145000,145500,363335
2010-03-19,146500,148000,145500,147000,389952
2010-03-22,147000,148000,145000,147500,254454
2010-03-23,149000,152500,148500,152000,817557
2010-03-24,152500,157500,152500,154500,1003090
2010-03-25,156000,157500,155000,156000,382828
2010-03-26,156500,157000,155000,155000,255644
2010-03-29,153500,155500,151000,151500,1011671
2010-03-30,153500,154500,152500,153500,441850
2010-03-31,153000,153500,150000,150000,417853
2010-04-01,150000,151500,148500,151000,2007691
2010-04-02,153500,155500,152500,155000,1226211
2010-04-05,157000,160500,156500,159000,1004695
2010-04-06,162000,162000,157000,158500,596097
2010-04-07,159500,163000,158500,161500,910136
2010-04-08,161500,164500,158000,159000,1681770
2010-04-09,161000,161000,155000,157000,777711
2010-04-12,158000,158500,151000,153000,695557
2010-04-13,155000,158000,154000,157500,809285
2010-04-14,159500,160500,158000,159500,709552
2010-04-15,162000,162000,156000,157000,1033300
2010-04-16,156500,158000,154500,156500,366010
2010-04-19,156000,159000,154500,159000,456988
2010-04-20,162000,163000,160000,162000,613928
2010-04-21,162000,168000,162000,167000,787200
2010-04-22,166000,167000,164000,165000,451353
2010-04-23,167000,168500,165000,167000,530373
2010-04-26,168500,170500,167000,169000,564579
2010-04-27,168500,172000,168500,172000,587677
2010-04-28,169000,180000,168500,179500,1318069
2010-04-29,183000,186500,182500,186000,1176044
2010-04-30,188500,190500,183500,186000,814776
2010-05-03,185500,187500,178000,181000,691406
2010-05-04,182500,185500,178500,181000,590860
2010-05-06,176000,182500,175000,180000,735550
2010-05-07,174500,178500,171000,177500,854325
2010-05-10,178000,180500,176500,180000,533367
2010-05-11,181500,181500,177000,178000,534810
2010-05-12,178000,185000,178000,183000,654202
2010-05-13,185000,190000,185000,189000,536330
2010-05-14,188000,196500,187000,194000,626596
2010-05-17,191500,196000,189500,196000,655540
2010-05-18,196000,198000,180000,188000,869483
2010-05-19,183000,189000,177000,188000,879251
2010-05-20,187500,193000,180500,185000,558372
2010-05-24,183000,187000,180000,185000,371910
2010-05-25,184000,185000,176000,185000,663086
2010-05-26,184000,189500,181500,189500,657971
2010-05-27,186000,199000,185000,199000,785003
2010-05-28,200000,201500,193500,197500,520240
2010-05-31,198500,202000,197000,199000,317089
2010-06-01,197500,199000,189000,192000,573145
2010-06-03,194500,194500,190000,192500,534286
2010-06-04,192000,196500,191000,193000,480548
2010-06-07,188000,191500,187500,190500,441847
2010-06-08,189500,194500,187500,192500,437109
2010-06-09,193000,195000,187000,192000,503023
