Date,Open,High,Low,Close,Volume
2010-01-04,226000,227500,223500,224000,344060
2010-01-05,224000,226500,221500,222500,540092
2010-01-06,224500,227000,221500,222500,359711
2010-01-07,223000,223500,213000,213000,633411
2010-01-08,214000,217000,208500,216000,433288
2010-01-11,217500,220500,214000,214000,381334
2010-01-12,219500,222500,216000,221500,535505
2010-01-13,219500,221500,216500,216500,344871
2010-01-14,218000,226000,217000,225000,600224
2010-01-15,227500,230500,224000,227000,424246
2010-01-18,228000,235000,226000,234000,567322
2010-01-19,235500,237000,228500,231000,344221
2010-01-20,233000,233500,225000,225500,505005
2010-01-21,221000,225500,221000,225000,421667
2010-01-22,221000,226500,218500,220000,451841
2010-01-25,216000,220000,214000,219000,244115
2010-01-26,219000,219500,208500,209500,504466
2010-01-27,209500,213500,207500,207500,315127
2010-01-28,210000,213500,206500,211000,355809
2010-01-29,206000,208000,199500,200000,570835
2010-02-01,203000,204500,200500,204000,322876
2010-02-02,207000,209500,203000,203000,296435
2010-02-03,206000,209500,205500,208000,285371
2010-02-04,207000,208500,205000,206500,175350
2010-02-05,196500,205500,196000,205000,473826
2010-02-08,204000,209500,203000,209000,277498
2010-02-09,208000,210000,205500,209500,239174
2010-02-10,210500,211000,206000,206000,188379
2010-02-11,205000,210000,205000,209000,184143
2010-02-12,207500,209000,204500,206500,182247
2010-02-16,206000,211000,204500,211000,220640
2010-02-17,213500,214000,212000,212500,154056
2010-02-18,213000,215000,210500,212500,140803
2010-02-19,210000,211500,205500,207000,250721
2010-02-22,209500,212500,208500,209000,191920
2010-02-23,211000,211000,209000,209500,168841
2010-02-24,209000,211500,206500,210000,159178
2010-02-25,211500,217500,210500,211500,539580
2010-02-26,214000,216000,212500,215000,347086
2010-03-02,216000,219000,215500,216500,229176
2010-03-03,215500,217500,214000,215500,140064
2010-03-04,217000,223000,216500,218000,403369
2010-03-05,220000,223500,218500,223000,321262
2010-03-08,226500,228500,224000,226000,262685
2010-03-09,224500,226000,223000,225500,180046
2010-03-10,224000,229500,223500,228000,300709
2010-03-11,228500,229500,224000,224000,227280
2010-03-12,225000,226500,221500,226500,192356
2010-03-15,227500,229000,224500,224500,237742
2010-03-16,224500,229500,223500,228500,357619
2010-03-17,229000,234500,229000,234000,518647
2010-03-18,233000,239500,233000,235500,492543
2010-03-19,237000,242000,235000,241000,414728
2010-03-22,239500,241500,237000,238000,223745
2010-03-23,240500,241500,232500,233500,424166
2010-03-24,235500,238000,234000,234000,208938
2010-03-25,234500,242000,234000,240000,317502
2010-03-26,241000,245000,239000,243000,245151
2010-03-29,239500,244000,239000,242000,233271
2010-03-30,242500,243500,238000,239500,253445
2010-03-31,237000,240500,235500,240500,306049
2010-04-01,238500,245000,236000,245000,461115
2010-04-02,245500,250500,241500,250000,490598
2010-04-05,250000,253000,246500,250000,294977
2010-04-06,250500,256500,248500,250000,334376
2010-04-07,252000,257000,249500,257000,401006
2010-04-08,255500,259000,255000,258500,291784
2010-04-09,258500,258500,250500,255500,415121
2010-04-12,255500,256000,245500,249000,361616
2010-04-13,249000,251500,246000,249000,183690
2010-04-14,250000,254000,249000,251500,254558
2010-04-15,250000,251000,245500,247000,263548
2010-04-16,245500,246000,240000,245000,386165
2010-04-19,241000,243500,238500,240000,216800
2010-04-20,241500,245500,240500,245000,272213
2010-04-21,252500,258500,250000,258500,603177
2010-04-22,258000,265000,256500,264500,444183
2010-04-23,264500,265500,261000,264000,240441
2010-04-26,263500,270500,262000,269500,331625
2010-04-27,267500,275000,266500,272500,383744
2010-04-28,267500,289500,267500,288000,889388
2010-04-29,288000,294500,278000,278000,757929
2010-04-30,281000,285000,274500,283000,446493
2010-05-03,281000,283000,276000,281000,292841
2010-05-04,282000,286500,279000,284000,276698
2010-05-06,277000,282000,272000,279000,558766
2010-05-07,270000,279500,269000,278500,691045
2010-05-10,280500,285000,276500,280000,411754
2010-05-11,283000,293500,281000,290000,490454
2010-05-12,294500,295000,289500,295000,333709
2010-05-13,295500,297000,290500,294500,340787
2010-05-14,291500,296500,290000,295500,385243
2010-05-17,290000,291000,282500,289000,470771
2010-05-18,288000,290000,271000,272000,548996
2010-05-19,269500,274000,261500,268500,493617
2010-05-20,268500,277500,258500,265000,449622
2010-05-24,260000,265000,258000,264500,244327
2010-05-25,260000,264000,249500,262000,491619
2010-05-26,261500,271000,259500,268500,422504
2010-05-27,265000,275000,263500,272000,305075
2010-05-28,274500,276000,264000,270000,411735
2010-05-31,270000,277000,267000,273000,247177
2010-06-01,271500,274500,267000,272000,218475
2010-06-03,273000,278500,271500,278500,265829
2010-06-04,278500,289500,278000,286000,370843
2010-06-07,280000,289000,277000,286000,370015
2010-06-08,286500,291000,285000,288000,254668
2010-06-09,290000,290000,285000,289000,250880
2010-06-10,289000,290500,283000,290000,270732
2010-06-11,294000,294000,285500,290500,240989
2010-06-14,290500,292000,286500,290000,228341
2010-06-15,290000,296500,288500,295000,255501
2010-06-16,296000,301500,295000,300000,273318
2010-06-17,300000,306000,297000,304500,252005
2010-06-18,304000,307500,301500,306500,191785
2010-06-21,308000,314000,306000,313500,252221
2010-06-22,311500,313500,308500,311500,230624
2010-06-23,311000,315000,308500,314000,228903
2010-06-24,312000,313500,303500,311500,298159
2010-06-25,307000,311500,306000,309000,171201
2010-06-28,308000,311500,307000,310000,115551
2010-06-29,310000,314000,306500,308000,199942
2010-06-30,304000,310000,301000,309500,333634
2010-07-01,309500,309500,302000,304500,204564
2010-07-02,305000,306500,285000,285000,596597
2010-07-05,283500,290000,277000,283000,396488
2010-07-06,284000,292000,278000,290500,337731
2010-07-07,291500,297000,287500,288000,314958
2010-07-08,295000,298000,289500,293000,272955
2010-07-09,294500,300500,291000,300000,211577
2010-07-12,310000,315000,308500,314500,389276
2010-07-13,317000,324000,314500,317000,396544
2010-07-14,326000,330000,320000,320500,453216
2010-07-15,322000,325000,319000,321000,225828
2010-07-16,324500,333000,323500,324500,421801
2010-07-19,320500,329500,320000,325500,212474
2010-07-20,327000,327500,318000,321500,251788
2010-07-21,334000,337500,330500,335500,525093
2010-07-22,337000,342000,327000,327000,441126
2010-07-23,331000,332000,316500,322500,436164
2010-07-26,320500,324000,314500,321000,287047
2010-07-27,322500,327500,319000,319000,300663
2010-07-28,321000,323500,317000,322000,237758
2010-07-29,321000,329000,321000,329000,266643
2010-07-30,327500,331500,324500,329000,171340
2010-08-02,334000,343000,332000,343000,303446
2010-08-03,340000,343000,334500,343000,358846
2010-08-04,343500,344000,337000,339000,230911
2010-08-05,340000,341500,324000,330500,403366
2010-08-06,324500,329500,315500,327000,375591
2010-08-09,327000,331000,322000,322000,166629
2010-08-10,321000,329000,320500,321500,197241
2010-08-11,322500,325500,318500,322500,219173
2010-08-12,319500,321500,315500,315500,259138
2010-08-13,318500,323500,311000,323500,261426
2010-08-16,324000,324000,316500,320000,186748
2010-08-17,319500,331000,316000,329000,275752
2010-08-18,333000,341000,332000,340000,380642
2010-08-19,340000,350000,338500,348500,465389
2010-08-20,348000,354500,345500,354500,286468
2010-08-23,352500,357000,349000,349000,309592
2010-08-24,346000,347500,338500,340500,292053
2010-08-25,337000,342500,336500,336500,237772
2010-08-26,341500,347500,337000,337000,311682
2010-08-27,333500,343000,333000,342500,205973
