Date,Open,High,Low,Close,Volume
2010-01-04,291000,294500,286500,290500,22755
2010-01-05,292500,292500,282500,287500,33726
2010-01-06,284500,288000,275500,276000,51420
2010-01-07,275000,280500,270000,270000,40822
2010-01-08,272500,276000,270000,272000,39938
2010-01-11,271000,275000,269000,273500,32466
2010-01-12,277500,282000,275000,281500,67215
2010-01-13,278500,283000,276000,277500,35337
2010-01-14,275500,285500,273000,273000,56430
2010-01-15,276500,279500,272500,274000,26962
2010-01-18,275500,278500,272000,274500,13094
2010-01-19,275000,280000,273500,280000,16673
2010-01-20,278500,280500,273500,277500,29509
2010-01-21,277000,286000,277000,285000,74913
2010-01-22,284500,286000,277500,284000,50839
2010-01-25,280000,291000,278500,289000,60602
2010-01-26,290500,291000,284500,290000,25298
2010-01-27,292500,299000,287000,294000,35062
2010-01-28,294500,298500,285000,286000,19655
2010-01-29,283500,284500,274500,284000,27336
2010-02-01,288500,298500,285000,289000,52156
2010-02-02,290000,293000,283500,292500,28923
2010-02-03,300000,300500,288500,289500,27347
2010-02-04,293500,293500,281000,281000,25251
2010-02-05,271500,283500,265000,280000,27964
2010-02-08,276500,285000,273500,285000,36050
2010-02-09,287000,289500,281000,283500,21618
2010-02-10,284000,285000,274000,285000,28651
2010-02-11,283500,286500,281500,281500,16075
2010-02-12,279000,282000,273500,282000,35854
2010-02-16,281000,287500,280000,285000,15833
2010-02-17,282000,285000,278000,278500,48639
2010-02-18,280000,281000,276000,276000,29177
2010-02-19,279000,280500,275500,275500,21409
2010-02-22,276000,282000,276000,280500,21666
2010-02-23,279000,282500,278500,281000,18440
2010-02-24,281000,282500,276500,280500,29609
2010-02-25,279000,281000,276500,279500,10746
2010-02-26,277000,283000,276500,277500,26832
2010-03-02,277000,292000,277000,283500,37070
2010-03-03,281000,282000,278000,279500,13682
2010-03-04,280000,285500,280000,282000,26318
2010-03-05,282000,295500,282000,293500,55995
2010-03-08,292000,306500,292000,305000,51086
2010-03-09,305000,305500,299500,300000,40849
2010-03-10,304000,304000,300000,302500,45050
