Date,Open,High,Low,Close,Volume
2010-01-04,610000,619000,608000,612000,133857
2010-01-05,615000,618000,607000,618000,191897
2010-01-06,618000,621000,612000,612000,149710
2010-01-07,615000,616000,601000,606000,170208
2010-01-08,606000,613000,594000,606000,205117
2010-01-11,612000,633000,611000,625000,287499
2010-01-12,633000,633000,619000,624000,184136
2010-01-13,611000,612000,592000,596000,360260
2010-01-14,600000,605000,586000,592000,393558
2010-01-15,591000,594000,579000,592000,299966
2010-01-18,587000,604000,581000,598000,252553
2010-01-19,604000,610000,588000,604000,251133
2010-01-20,611000,625000,611000,622000,339721
2010-01-21,611000,618000,610000,615000,219074
2010-01-22,599000,603000,583000,590000,461925
2010-01-25,579000,591000,576000,587000,220460
2010-01-26,587000,588000,570000,572000,291596
2010-01-27,564000,567000,554000,555000,346239
2010-01-28,553000,563000,546000,559000,296720
2010-01-29,548000,549000,534000,536000,357375
2010-02-01,530000,543000,523000,531000,307256
2010-02-02,546000,556000,538000,541000,370501
2010-02-03,557000,562000,551000,558000,235301
2010-02-04,553000,557000,545000,547000,171950
2010-02-05,530000,535000,525000,525000,304717
2010-02-08,522000,524000,512000,516000,240399
2010-02-09,512000,532000,512000,528000,221282
2010-02-10,536000,537000,526000,533000,212706
2010-02-11,530000,547000,527000,541000,219745
2010-02-12,542000,542000,525000,534000,367709
2010-02-16,535000,550000,530000,544000,130832
2010-02-17,555000,555000,545000,549000,200981
2010-02-18,549000,550000,537000,543000,213545
2010-02-19,543000,546000,531000,533000,183155
2010-02-22,544000,553000,542000,551000,211501
2010-02-23,550000,555000,547000,555000,149207
2010-02-24,555000,555000,536000,538000,287306
2010-02-25,543000,547000,528000,530000,187779
2010-02-26,536000,537000,528000,530000,147149
2010-03-02,534000,541000,530000,535000,174719
2010-03-03,534000,539000,531000,532000,165627
2010-03-04,537000,544000,536000,541000,216495
2010-03-05,544000,548000,543000,545000,177451
2010-03-08,554000,565000,552000,563000,305259
2010-03-09,563000,565000,558000,565000,123295
2010-03-10,566000,567000,554000,560000,194983
2010-03-11,566000,567000,551000,555000,242256
2010-03-12,557000,560000,550000,558000,128569
2010-03-15,560000,564000,549000,551000,125419
2010-03-16,554000,554000,542000,545000,272723
2010-03-17,550000,559000,545000,559000,279674
2010-03-18,555000,562000,547000,548000,290763
2010-03-19,550000,551000,544000,547000,287666
2010-03-22,544000,544000,529000,529000,545507
2010-03-23,534000,536000,527000,531000,474086
2010-03-24,536000,541000,532000,532000,301067
2010-03-25,531000,535000,527000,530000,306611
2010-03-26,530000,537000,526000,536000,257564
2010-03-29,532000,543000,531000,541000,247041
2010-03-30,546000,546000,532000,537000,300432
2010-03-31,534000,536000,527000,528000,344021
2010-04-01,530000,535000,522000,528000,439475
2010-04-02,533000,545000,531000,545000,455973
2010-04-05,549000,558000,545000,558000,436233
2010-04-06,562000,565000,553000,558000,286149
2010-04-07,558000,563000,554000,560000,247542
2010-04-08,556000,559000,551000,558000,238546
2010-04-09,557000,558000,542000,545000,309295
2010-04-12,547000,555000,541000,545000,240421
2010-04-13,548000,548000,535000,538000,226206
2010-04-14,538000,542000,532000,542000,408988
2010-04-15,540000,544000,533000,538000,318681
2010-04-16,538000,538000,530000,538000,276638
2010-04-19,531000,535000,528000,529000,175763
2010-04-20,533000,535000,527000,529000,201338
2010-04-21,533000,538000,529000,533000,288007
2010-04-22,529000,530000,520000,525000,427115
2010-04-23,526000,528000,520000,523000,376977
2010-04-26,525000,537000,525000,535000,310063
2010-04-27,535000,535000,528000,530000,224236
2010-04-28,519000,523000,518000,518000,395311
2010-04-29,522000,522000,507000,515000,431204
2010-04-30,518000,522000,496000,499000,933830
2010-05-03,498500,499000,484000,488000,544463
2010-05-04,490000,493500,485000,487500,270691
2010-05-06,480000,486500,475500,485500,389811
2010-05-07,475000,482500,470000,472500,489088
2010-05-10,474500,487500,473000,482500,326646
2010-05-11,492000,492500,467500,467500,501825
2010-05-12,467500,474000,453000,456000,438665
2010-05-13,459500,463000,451000,457000,407816
2010-05-14,454500,468500,454500,464000,360353
2010-05-17,461000,461000,441000,442000,432660
2010-05-18,442000,454000,435000,453500,377149
2010-05-19,447500,452500,443000,447000,283927
2010-05-20,450000,450500,431000,434500,347101
2010-05-24,438500,457000,434000,455500,380883
2010-05-25,451000,457000,444500,446000,419737
2010-05-26,455000,463500,451000,454500,426854
2010-05-27,457000,470000,454500,464500,390906
2010-05-28,474500,474500,465500,472000,291888
2010-05-31,471000,473500,465500,472000,182713
2010-06-01,468000,470000,457500,460000,266333
2010-06-03,467000,477000,463500,475500,285171
2010-06-04,472000,475000,456000,456000,470988
2010-06-07,442000,451000,440500,448000,326583
2010-06-08,447000,453000,442500,450000,167853
2010-06-09,446000,452000,443000,447000,269159
2010-06-10,450000,455000,445000,448500,283305
2010-06-11,457500,466000,457000,465500,341191
2010-06-14,474000,478500,470000,473000,338417
2010-06-15,467500,473000,466000,468000,200726
2010-06-16,474000,475000,468500,472000,154708
2010-06-17,473000,473500,468000,471500,179373
2010-06-18,470000,470500,461000,465000,241377
2010-06-21,480000,493000,475000,492500,604711
2010-06-22,491500,499500,486000,497000,452937
2010-06-23,493000,508000,492000,504000,379142
2010-06-24,500000,507000,495000,507000,206708
2010-06-25,498000,499500,493500,496500,261055
2010-06-28,496500,497500,488000,489000,177402
2010-06-29,486000,490500,475000,476500,382111
2010-06-30,464000,470000,463500,466500,343482
2010-07-01,462000,466500,458500,460500,234595
2010-07-02,459500,475000,459500,466500,211547
2010-07-05,466500,486000,466000,483500,267589
2010-07-06,479500,490000,473000,483500,247457
2010-07-07,484500,489000,474000,482000,242188
2010-07-08,487000,502000,486000,497000,479253
2010-07-09,499000,507000,496000,505000,325869
2010-07-12,505000,507000,498000,501000,237831
2010-07-13,502000,504000,498000,500000,243702
2010-07-14,495500,499000,484000,488500,788973
2010-07-15,488500,494000,481500,487000,363868
2010-07-16,487500,498500,487500,491500,239771
2010-07-19,487000,494000,486500,491500,131661
2010-07-20,489500,500000,486000,497000,216962
2010-07-21,508000,511000,504000,509000,436477
2010-07-22,507000,520000,501000,514000,417840
2010-07-23,518000,522000,514000,518000,238422
2010-07-26,520000,521000,511000,517000,185507
2010-07-27,515000,521000,511000,519000,225392
2010-07-28,516000,518000,510000,513000,214037
2010-07-29,509000,513000,508000,513000,173606
2010-07-30,514000,518000,491000,492000,530523
2010-08-02,495000,503000,492000,495000,200827
2010-08-03,504000,505000,498000,503000,154003
2010-08-04,507000,507000,500000,504000,131899
