Date,Open,High,Low,Close,Volume
2010-01-04,10480,10500,10420,10440,683350
2010-01-05,10540,10620,10500,10600,657750
2010-01-06,10640,10760,10400,10760,1577900
2010-01-07,10820,10820,10460,10580,1717500
2010-01-08,10720,10720,10480,10520,642350
2010-01-11,10460,10540,10200,10200,900400
2010-01-12,10160,10380,10100,10380,1415650
2010-01-13,10300,10300,10100,10160,814300
2010-01-14,10200,10420,10160,10380,1263050
2010-01-15,10280,10480,10280,10380,2350850
2010-01-18,10400,10480,10280,10400,917400
2010-01-19,10500,10560,10300,10420,991200
2010-01-20,10560,10740,10480,10660,1677100
2010-01-21,10660,10860,10560,10800,1310450
2010-01-22,10600,10660,10500,10600,905500
2010-01-25,10380,10660,10380,10640,875850
2010-01-26,10640,10640,10300,10400,640300
2010-01-27,10200,10380,10120,10140,1082550
2010-01-28,10220,10400,10080,10140,1258850
2010-01-29,10100,10260,9950,10260,1686400
2010-02-01,10300,10340,10040,10040,1268550
2010-02-02,10240,10280,10100,10240,1041600
2010-02-03,10280,10320,10200,10280,1033800
2010-02-04,10260,10340,10200,10200,1021800
2010-02-05,10060,10060,9740,9840,1294750
2010-02-08,9860,10000,9830,9960,715850
2010-02-09,9760,9870,9730,9870,1462150
2010-02-10,9900,9940,9730,9850,443800
2010-02-11,9760,10080,9760,10080,708450
2010-02-12,10100,10120,9990,10100,1627250
2010-02-16,10100,10120,10000,10080,508950
2010-02-17,10180,10180,10100,10160,1227500
2010-02-18,10180,10240,10000,10060,464100
2010-02-19,10000,10140,9880,9960,738650
2010-02-22,10080,10100,10020,10100,432200
2010-02-23,9950,10040,9740,9850,1527100
2010-02-24,9780,9800,9710,9710,588500
2010-02-25,9720,9730,9430,9470,859950
2010-02-26,9570,9750,9440,9750,672500
2010-03-02,9910,10080,9750,9990,1349450
2010-03-03,9850,9980,9840,9920,439200
2010-03-04,10040,10040,9750,9850,533650
2010-03-05,9850,9920,9840,9920,1668350
2010-03-08,10040,10040,9930,9980,3534000
2010-03-09,10000,10000,9890,9920,509000
2010-03-10,9900,9980,9870,9980,321800
2010-03-11,9940,9990,9930,9940,1985000
2010-03-12,9970,10000,9950,10000,546600
2010-03-15,10100,10140,10040,10100,1780850
2010-03-16,10100,10160,10080,10160,2043650
