Date,Open,High,Low,Close,Volume
2010-01-04,43950,44250,43250,43600,1184352
2010-01-05,43850,44600,42900,44600,2785425
2010-01-06,44550,45250,44200,44950,1503785
2010-01-07,44550,44950,43600,43600,1820378
2010-01-08,43800,44700,43800,44450,1147400
2010-01-11,44500,46150,43900,45700,2458308
2010-01-12,46050,46100,44650,45300,1496440
2010-01-13,45100,45800,44350,44800,1413512
2010-01-14,44600,45050,43850,44000,2519193
2010-01-15,44000,44000,42850,43000,2794728
2010-01-18,42300,42500,41150,42000,3881932
2010-01-19,41800,42500,41750,42400,2011608
2010-01-20,42400,42550,41600,42100,2628711
2010-01-21,42050,42750,41850,42650,1912002
2010-01-22,42000,42100,40550,40900,2987460
2010-01-25,40150,40600,40050,40400,1958848
2010-01-26,40550,41200,40100,40450,2013947
2010-01-27,40150,40550,39150,39250,2276375
2010-01-28,39650,41700,39350,41700,3098955
2010-01-29,40700,41400,40600,41000,2021094
2010-02-01,41700,42750,41150,42750,2879220
2010-02-02,43250,43250,41950,42500,1995013
2010-02-03,43300,43450,42650,43200,1887243
2010-02-04,43450,43650,42550,43250,1645754
2010-02-05,41900,42400,40950,41000,2117122
2010-02-08,40700,40800,39200,39650,1734875
2010-02-09,39650,41500,39650,41300,2272131
2010-02-10,41750,42750,41300,42150,2158811
2010-02-11,42200,43000,41700,42700,1710495
2010-02-12,42800,42800,41100,42000,1696686
2010-02-16,41550,42000,41500,41950,616787
2010-02-17,42800,43200,42600,42700,1281098
2010-02-18,42700,43300,42450,42600,960692
2010-02-19,42400,42650,41250,41350,1409979
2010-02-22,42250,42950,42000,42500,1209052
2010-02-23,42700,42700,42000,42550,1432841
2010-02-24,42250,42350,41800,42000,929174
2010-02-25,42200,42300,40800,41350,816858
2010-02-26,41900,42100,41300,41450,967001
2010-03-02,42900,42900,42550,42650,2142260
2010-03-03,43050,43200,42900,43050,1073198
2010-03-04,43200,43850,43050,43500,1971171
2010-03-05,43850,44100,43550,43600,1006053
2010-03-08,44400,44650,44200,44550,1473740
2010-03-09,44550,44900,44400,44750,1094944
2010-03-10,44750,44900,44250,44550,1278266
2010-03-11,44800,44850,43800,44500,1880807
2010-03-12,44500,44700,43550,44000,1956499
2010-03-15,44450,44600,43450,43700,1204417
2010-03-16,44300,44300,43500,44000,1318343
2010-03-17,44400,44800,43650,44600,2259485
2010-03-18,44250,44750,43250,43350,2264608
2010-03-19,43700,43850,43100,43200,1046220
2010-03-22,42500,42750,42100,42200,1763204
2010-03-23,42350,43150,42350,43050,1109027
2010-03-24,43200,43600,42550,43150,893549
2010-03-25,43450,43700,43250,43400,1337873
2010-03-26,43100,44250,42850,44000,1586519
2010-03-29,43650,44000,43200,43900,1194880
2010-03-30,44400,45450,44250,45050,2604479
2010-03-31,45000,45050,43950,44450,1261681
2010-04-01,44500,45400,44450,45150,1471795
2010-04-02,45800,46000,45300,46000,1853445
2010-04-05,45700,46600,45600,46200,2068108
2010-04-06,46450,46650,45700,46200,1092124
2010-04-07,46200,46750,45750,46000,1845818
